,playerId,season,name,team,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts,birthDate,weight,nationality,shootsCatches,primaryNumber,position,height,Birth City,S/P,Draft Yr,Round,Overall,1st Season
11352,8477205,2021,Andrej Sustr,ANA,5on5,38,30966.0,662.0,1.45,0.46,0.5,0.45,0.49,0.44,0.49,193.0,26.75,0.76,1.44,6.62,0.82,16.67,12.69,0.74,0.77,0.75,2.0,3.0,28.0,11.0,23.0,62.0,6.0,1.0,1.0,0.0,11.0,1.0,14.0,11.0,27.0,38.0,8.0,16.0,0.0,26.0,10.0,14.0,38.0,1.0,0.0,0.61,0.15,0.0,1.0,0.0,0.0,62.25,39.0,38.44,11.0,0.29,0.05,0.0,1.04,1.05,1.02,662.0,47.0,56.0,97.0,462.0,94.0,98.0,62.0,408.0,0.0,0.0,82625.0,16.0,2.0,1.0,30.0,219.14,17.94,17.31,17.99,17.36,227.0,75.0,104.0,406.0,14.0,15.0,0.0,226.0,64.0,12.0,6.62,8.0,3.32,6.0,7.0,1.0,404.07,302.0,299.66,2.95,3.08,3.08,17.81,17.89,17.57,274.46,21.25,20.67,21.57,20.99,266.0,123.0,112.0,501.0,17.0,19.0,2.0,312.0,58.0,19.0,9.55,6.51,5.18,8.0,5.0,4.0,510.07,389.0,396.68,3.79,3.63,3.83,21.2,21.52,21.19,56.62,56.77,1217.0,1251.0,1.74,0.33,39.0,7.0,31.0,6.0,1990-11-29,217.0,CZE,R,62.0,D,200.66,Plzen,--,--,--,--,2012.0
8757,8476407,2020,Andy Welinski,ANA,5on5,13,10235.0,208.0,1.8,0.45,0.43,0.48,0.45,0.47,0.44,52.0,15.83,0.32,0.78,4.4,0.5,9.45,7.56,0.3,0.32,0.3,0.0,0.0,14.0,9.0,7.0,30.0,0.0,0.0,1.0,0.0,7.0,0.0,7.0,8.0,14.0,23.0,0.0,0.0,0.0,12.0,2.0,6.0,23.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,29.56,23.0,22.46,5.0,0.15,0.44,0.0,0.47,0.46,0.45,208.0,37.0,28.0,26.0,117.0,31.0,38.0,26.0,113.0,0.0,0.0,26923.0,0.0,2.0,1.0,7.0,79.28,5.88,5.73,6.02,5.88,68.0,43.0,37.0,148.0,9.0,3.0,1.0,83.0,23.0,5.0,1.91,2.63,1.33,2.0,7.0,0.0,146.89,111.0,110.87,0.99,0.83,0.97,5.89,6.02,5.88,90.45,7.2,6.92,7.39,7.11,92.0,35.0,31.0,158.0,5.0,7.0,1.0,96.0,23.0,8.0,2.55,2.49,2.17,1.0,3.0,1.0,161.1,127.0,130.09,1.2,1.58,1.58,6.81,6.92,6.83,13.7,18.07,359.0,437.0,0.31,0.16,15.0,2.0,8.0,2.0,1993-04-27,201.0,USA,R,45.0,D,185.42000000000002,Duluth,MN,2011,3,83,2017.0
18312,8480467,2022,Austin Strand,ANA,5on5,5,3682.0,79.0,1.13,0.59,0.43,0.61,0.52,0.61,0.49,27.0,3.74,0.11,0.26,1.0,0.15,2.58,1.9,0.11,0.12,0.11,0.0,0.0,5.0,1.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,5.0,6.0,1.0,2.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,9.04,6.0,6.12,0.0,0.05,0.17,0.0,0.17,0.17,0.16,79.0,10.0,3.0,12.0,54.0,17.0,11.0,8.0,43.0,0.0,0.0,11568.0,2.0,0.0,0.0,3.0,31.34,2.47,2.34,2.49,2.36,32.0,11.0,13.0,56.0,0.0,4.0,0.0,33.0,8.0,2.0,0.84,1.12,0.51,0.0,0.0,0.0,55.97,43.0,43.44,0.4,0.8,0.8,2.07,2.06,1.97,20.41,1.71,1.69,1.74,1.71,20.0,8.0,8.0,36.0,2.0,2.0,0.0,19.0,8.0,1.0,0.55,0.92,0.25,1.0,1.0,0.0,36.66,28.0,28.4,0.27,0.44,0.44,1.55,1.57,1.56,7.75,10.26,184.0,171.0,0.08,0.0,2.0,0.0,1.0,0.0,1997-02-17,216.0,CAN,R,71.0,D,190.5,Calgary,AB,--,--,--,2020.0
1217,8478425,2019,Brendan Guhle,ANA,5on5,30,28408.0,648.0,5.63,0.44,0.48,0.45,0.48,0.47,0.49,116.0,38.11,1.22,2.17,10.39,1.25,24.75,17.22,1.2,1.23,1.21,1.0,3.0,39.0,18.0,30.0,87.0,8.0,4.0,4.0,0.0,7.0,1.0,21.0,20.0,35.0,53.0,5.0,10.0,0.0,21.0,6.0,22.0,55.0,2.0,0.0,0.95,0.27,0.0,3.0,1.0,0.0,85.86,57.0,56.75,15.0,0.43,0.57,0.05,1.6,1.62,1.59,648.0,77.0,66.0,88.0,417.0,82.0,100.0,55.0,411.0,0.0,0.0,61308.0,10.0,6.0,3.0,39.0,222.69,15.48,15.09,15.6,15.2,222.0,91.0,90.0,403.0,17.0,13.0,2.0,258.0,41.0,14.0,6.62,5.45,3.41,7.0,6.0,4.0,398.45,313.0,312.15,2.97,2.22,2.3,16.14,16.25,16.1,252.34,20.04,19.48,20.04,19.49,249.0,108.0,133.0,490.0,18.0,25.0,6.0,286.0,54.0,17.0,8.76,6.78,4.5,9.0,5.0,4.0,497.05,357.0,358.55,3.58,4.57,4.57,19.06,19.17,18.9,38.04,40.84,935.0,1003.0,1.81,0.35,41.0,12.0,34.0,10.0,1997-07-29,196.0,CAN,L,45.0,D,187.96,Edmonton,AB,2015,2,51,2016.0
11907,8478425,2021,Brendan Guhle,ANA,5on5,6,5138.0,110.0,0.1,0.47,0.49,0.45,0.52,0.47,0.52,28.0,8.4,0.41,0.49,2.41,0.3,5.54,3.85,0.41,0.39,0.39,0.0,0.0,6.0,7.0,5.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,7.0,6.0,13.0,0.0,0.0,0.0,11.0,0.0,5.0,12.0,1.0,0.0,0.31,0.1,0.0,0.0,0.0,0.0,17.19,13.0,12.42,3.0,0.1,0.0,0.0,0.51,0.49,0.48,110.0,9.0,10.0,20.0,71.0,10.0,16.0,20.0,64.0,0.0,0.0,12768.0,0.0,0.0,0.0,4.0,34.77,2.31,2.26,2.23,2.18,35.0,16.0,15.0,66.0,5.0,1.0,1.0,42.0,9.0,0.0,1.17,1.13,0.0,3.0,2.0,0.0,62.94,51.0,49.05,0.45,0.19,0.19,2.57,2.47,2.43,40.6,2.63,2.57,2.69,2.63,48.0,9.0,23.0,80.0,4.0,4.0,1.0,50.0,5.0,2.0,1.41,0.59,0.63,3.0,0.0,1.0,83.61,57.0,59.12,0.48,0.81,0.81,2.3,2.37,2.36,7.98,8.31,213.0,193.0,0.61,0.1,13.0,4.0,11.0,2.0,1997-07-29,196.0,CAN,L,45.0,D,187.96,Edmonton,AB,2015,2,51,2016.0
2767,8475764,2019,Cam Fowler,ANA,5on5,60,63526.0,1391.0,33.52,0.52,0.45,0.52,0.47,0.51,0.47,153.0,63.71,2.74,3.65,17.72,2.24,39.34,27.3,2.67,2.76,2.7,3.0,9.0,76.0,17.0,39.0,132.0,19.0,7.0,2.0,0.0,20.0,2.0,34.0,28.0,69.0,86.0,8.0,16.0,0.0,23.0,20.0,28.0,87.0,5.0,1.0,1.83,0.52,0.39,5.0,2.0,0.0,131.88,93.0,93.29,19.0,0.72,0.1,0.49,2.98,3.0,2.92,1391.0,176.0,162.0,224.0,829.0,121.0,184.0,184.0,902.0,0.0,0.0,111530.0,16.0,4.0,2.0,49.0,548.87,41.83,40.16,42.0,40.34,543.0,228.0,216.0,987.0,44.0,34.0,7.0,613.0,123.0,35.0,17.26,14.31,10.26,18.0,15.0,11.0,982.96,771.0,769.4,7.39,7.11,8.05,41.12,41.27,40.49,514.45,38.61,37.06,38.64,37.13,497.0,232.0,197.0,926.0,36.0,48.0,5.0,579.0,124.0,26.0,16.69,15.15,6.76,19.0,12.0,5.0,933.46,729.0,731.67,6.92,8.09,8.09,37.44,37.62,36.9,62.68,75.8,1641.0,1843.0,3.59,1.32,82.0,22.0,68.0,17.0,1991-12-05,206.0,USA,L,4.0,D,187.96,Windsor,ON,2010,1,12,2010.0
5372,8475764,2020,Cam Fowler,ANA,5on5,56,57842.0,1225.0,24.77,0.47,0.45,0.52,0.47,0.5,0.47,159.0,52.36,2.12,3.08,13.87,1.7,33.36,23.87,2.08,2.11,2.07,4.0,8.0,54.0,24.0,53.0,131.0,17.0,5.0,5.0,1.0,14.0,1.0,19.0,34.0,49.0,73.0,7.0,14.0,0.0,24.0,19.0,20.0,73.0,5.0,0.0,1.59,0.53,0.0,3.0,2.0,0.0,128.85,78.0,77.05,17.0,0.61,0.58,0.13,2.6,2.57,2.53,1225.0,153.0,154.0,197.0,721.0,124.0,172.0,188.0,741.0,0.0,0.0,109180.0,14.0,6.0,3.0,29.0,429.84,32.9,31.93,32.69,31.75,425.0,183.0,249.0,857.0,44.0,34.0,8.0,480.0,102.0,26.0,13.87,12.08,6.96,18.0,17.0,9.0,845.27,608.0,600.81,5.78,6.42,6.74,31.94,31.77,31.36,431.36,37.19,36.0,37.84,36.61,443.0,166.0,189.0,798.0,39.0,38.0,6.0,449.0,125.0,35.0,12.85,14.34,10.02,13.0,18.0,8.0,816.94,609.0,623.01,6.07,7.94,8.19,35.07,35.54,35.06,59.91,72.97,1525.0,1700.0,2.12,1.29,58.0,27.0,38.0,21.0,1991-12-05,206.0,USA,L,4.0,D,187.96,Windsor,ON,2010,1,12,2010.0
11837,8475764,2021,Cam Fowler,ANA,5on5,76,85389.0,1651.0,44.5,0.51,0.47,0.51,0.46,0.5,0.47,158.0,76.56,3.55,4.49,20.13,2.46,46.77,34.59,3.51,3.48,3.44,6.0,11.0,83.0,29.0,86.0,198.0,19.0,2.0,8.0,0.0,19.0,1.0,40.0,42.0,81.0,110.0,6.0,10.0,0.0,34.0,21.0,38.0,103.0,8.0,1.0,2.32,0.96,0.27,2.0,0.0,0.0,196.03,112.0,110.45,26.0,0.89,1.49,0.24,4.21,4.13,4.1,1651.0,154.0,227.0,310.0,960.0,191.0,137.0,239.0,1084.0,0.0,0.0,145149.0,10.0,6.0,3.0,73.0,692.7,56.86,55.16,56.89,55.18,687.0,266.0,336.0,1289.0,61.0,55.0,15.0,720.0,180.0,53.0,20.43,22.33,14.09,22.0,23.0,16.0,1283.05,953.0,949.49,9.16,11.81,11.87,54.14,54.16,53.43,674.07,54.12,52.69,54.7,53.27,676.0,277.0,297.0,1250.0,57.0,52.0,7.0,735.0,183.0,35.0,22.25,22.36,9.5,26.0,22.0,9.0,1265.91,953.0,962.74,9.35,10.06,10.3,53.18,53.81,53.03,87.19,98.61,2006.0,2333.0,4.21,0.98,93.0,34.0,73.0,28.0,1991-12-05,206.0,USA,L,4.0,D,187.96,Windsor,ON,2010,1,12,2010.0
17737,8475764,2022,Cam Fowler,ANA,5on5,82,92530.0,1696.0,24.45,0.42,0.39,0.44,0.42,0.42,0.41,156.0,86.81,4.56,5.14,22.51,2.77,51.91,38.12,4.37,4.45,4.26,10.0,10.0,87.0,38.0,65.0,190.0,26.0,6.0,6.0,2.0,26.0,3.0,43.0,41.0,81.0,119.0,9.0,14.0,0.0,14.0,22.0,38.0,110.0,12.0,3.0,2.33,1.36,0.87,4.0,1.0,1.0,183.56,125.0,121.84,30.0,1.03,1.08,0.75,4.84,4.71,4.62,1696.0,226.0,240.0,330.0,900.0,132.0,252.0,281.0,1031.0,0.0,0.0,151035.0,14.0,6.0,3.0,80.0,708.47,58.67,56.42,57.67,55.49,710.0,260.0,322.0,1292.0,55.0,74.0,12.0,724.0,198.0,48.0,21.1,24.2,13.37,25.0,21.0,9.0,1250.44,970.0,946.32,9.38,13.87,13.48,54.57,53.65,52.78,940.85,80.43,77.24,82.27,79.01,966.0,347.0,351.0,1664.0,73.0,95.0,4.0,968.0,286.0,59.0,29.39,34.81,16.22,30.0,37.0,6.0,1720.88,1313.0,1351.66,13.29,17.95,17.95,75.77,77.57,76.15,88.59,140.69,2009.0,2772.0,4.13,0.59,104.0,8.0,77.0,7.0,1991-12-05,206.0,USA,L,4.0,D,187.96,Windsor,ON,2010,1,12,2010.0
22952,8475764,2023,Cam Fowler,ANA,5on5,81,85591.0,1601.0,22.22,0.45,0.48,0.46,0.47,0.46,0.47,172.0,69.78,2.77,3.66,19.86,2.26,40.15,30.29,2.74,2.74,2.71,4.0,8.0,66.0,33.0,71.0,170.0,14.0,2.0,5.0,0.0,22.0,0.0,33.0,37.0,64.0,97.0,11.0,22.0,0.0,37.0,24.0,27.0,93.0,6.0,0.0,2.07,0.7,0.0,2.0,0.0,0.0,165.66,99.0,96.65,20.0,0.73,0.99,0.06,3.44,3.41,3.37,1601.0,189.0,203.0,282.0,927.0,174.0,200.0,237.0,990.0,0.0,0.0,144025.0,22.0,8.0,4.0,77.0,635.51,51.13,49.25,50.46,48.61,601.0,274.0,338.0,1213.0,37.0,52.0,4.0,675.0,152.0,48.0,18.88,19.06,13.2,21.0,10.0,6.0,1185.8,875.0,858.52,7.99,11.16,11.44,47.68,46.96,46.11,753.86,62.78,60.05,63.9,61.13,715.0,331.0,364.0,1410.0,74.0,76.0,9.0,799.0,186.0,61.0,23.5,23.05,16.22,33.0,32.0,9.0,1451.81,1046.0,1074.24,10.21,14.82,14.98,58.01,59.03,57.78,92.4,99.14,2096.0,2390.0,2.9,0.66,99.0,26.0,72.0,19.0,1991-12-05,206.0,USA,L,4.0,D,187.96,Windsor,ON,2010,1,12,2010.0
