,lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
1934,84735608478425,2019,Guhle-Holzer,ANA,pairing,5on5,18,8673.0,79.0,0.4,0.43,0.44,50.64,3.02,3.13,12.41,1.67,29.13,22.64,2.98,3.06,3.02,47.0,25.0,29.0,101.0,4.0,2.0,1.0,7.0,1.0,20.0,38.0,43.0,68.0,11.0,28.0,59.0,67.0,21.0,28.0,62.0,9.0,1.0,1.51,1.28,0.23,2.0,1.0,1.0,99.85,72.0,71.5,13.0,0.64,0.38,0.42,3.23,3.27,3.25,63.58,4.53,4.33,15.77,2.18,37.51,27.67,4.43,4.57,4.46,65.0,27.0,41.0,133.0,4.0,5.0,2.0,14.0,4.0,40.0,25.0,61.0,88.0,9.0,24.0,61.0,60.0,11.0,24.0,77.0,12.0,3.0,2.3,1.41,0.83,0.0,3.0,1.0,133.11,92.0,91.68,14.0,0.89,0.93,0.93,4.48,4.52,4.45
11505,84809508482803,2023,Lyubushkin-Zellweger,ANA,pairing,5on5,1,638.0,3.0,0.12,0.32,0.27,2.94,0.13,0.13,1.02,0.09,1.51,1.12,0.13,0.13,0.13,2.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,0.0,0.0,3.0,3.0,1.0,4.0,4.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,7.44,4.0,4.1,2.0,0.03,0.0,0.0,0.15,0.15,0.15,8.26,0.92,0.51,2.07,0.24,4.2,3.06,0.92,0.91,0.91,6.0,5.0,4.0,15.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,6.0,11.0,1.0,2.0,7.0,8.0,1.0,0.0,8.0,1.0,2.0,0.13,0.09,0.7,0.0,0.0,0.0,13.96,11.0,10.62,0.0,0.11,0.0,0.0,1.03,1.02,1.01
11507,84828038483490,2023,Mintyukov-Zellweger,ANA,pairing,5on5,13,876.0,102.0,0.76,0.63,0.63,9.4,0.89,0.58,1.81,0.25,4.51,3.97,0.87,0.87,0.86,8.0,4.0,3.0,15.0,1.0,1.0,0.0,1.0,0.0,5.0,4.0,7.0,11.0,1.0,2.0,3.0,8.0,2.0,2.0,9.0,2.0,1.0,0.35,0.27,0.27,1.0,0.0,0.0,14.25,12.0,11.57,0.0,0.12,0.27,0.27,0.74,0.73,0.72,5.17,0.28,0.28,1.12,0.15,2.59,2.58,0.28,0.29,0.29,6.0,1.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,6.0,1.0,2.0,3.0,8.0,1.0,0.0,6.0,1.0,0.0,0.16,0.13,0.0,1.0,0.0,0.0,9.53,7.0,7.34,0.0,0.06,0.0,0.0,0.34,0.34,0.34
4947,84811228482142,2021,Benoit-Drysdale,ANA,pairing,5on5,24,863.0,189.0,0.32,0.25,0.26,5.65,0.7,0.33,1.29,0.19,2.3,2.19,0.63,0.69,0.62,6.0,1.0,3.0,10.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,6.0,7.0,0.0,0.0,1.0,5.0,0.0,2.0,4.0,1.0,2.0,0.1,0.09,0.51,0.0,0.0,0.0,9.79,7.0,6.94,1.0,0.07,0.21,0.21,0.57,0.56,0.54,14.67,1.47,0.91,3.45,0.49,7.65,6.03,1.44,1.53,1.5,14.0,6.0,10.0,30.0,2.0,2.0,0.0,3.0,0.0,7.0,6.0,12.0,18.0,0.0,0.0,0.0,7.0,5.0,2.0,15.0,3.0,2.0,0.37,0.34,0.77,1.0,0.0,1.0,31.29,20.0,20.95,1.0,0.19,0.48,0.48,1.18,1.24,1.22
4949,84768548479372,2021,Lindholm-Mahura,ANA,pairing,5on5,10,660.0,62.0,0.88,0.83,0.78,4.79,0.31,0.3,0.94,0.16,2.91,2.39,0.31,0.29,0.29,3.0,4.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,7.0,1.0,2.0,2.0,2.0,3.0,1.0,5.0,2.0,0.0,0.12,0.19,0.0,0.0,0.0,0.0,9.76,7.0,6.88,1.0,0.06,0.0,0.0,0.37,0.35,0.35,1.47,0.04,0.08,0.42,0.04,0.8,0.61,0.04,0.04,0.04,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,6.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,2.15,2.0,2.12,0.0,0.01,0.0,0.0,0.06,0.06,0.06
13164,84754628480001,2023,Vaakanainen-Gudas,ANA,pairing,5on5,47,29527.0,148.0,0.52,0.5,0.51,244.62,18.71,14.85,62.76,8.16,131.35,100.18,18.2,18.78,18.29,227.0,109.0,133.0,469.0,26.0,23.0,2.0,52.0,0.0,125.0,110.0,201.0,310.0,56.0,127.0,241.0,287.0,43.0,52.0,270.0,45.0,21.0,6.84,5.74,6.13,10.0,10.0,6.0,465.74,336.0,333.83,30.0,3.06,5.36,5.22,16.55,16.66,16.39,235.12,17.0,14.62,59.37,7.62,129.07,98.33,16.62,17.38,17.0,226.0,100.0,139.0,465.0,21.0,14.0,1.0,53.0,1.0,120.0,117.0,205.0,305.0,47.0,109.0,214.0,183.0,42.0,66.0,261.0,54.0,11.0,7.45,6.57,2.97,9.0,10.0,2.0,474.79,326.0,331.26,37.0,3.02,2.2,2.2,17.81,18.24,17.96
457,84745848477043,2019,Del Zotto-Djoos,ANA,pairing,5on5,7,1040.0,37.0,0.65,0.71,0.73,11.3,0.79,0.71,3.0,0.39,6.42,4.68,0.78,0.8,0.79,10.0,6.0,9.0,25.0,1.0,3.0,1.0,2.0,0.0,5.0,5.0,9.0,15.0,0.0,0.0,5.0,5.0,1.0,6.0,13.0,2.0,1.0,0.25,0.28,0.27,0.0,1.0,0.0,23.75,16.0,15.52,4.0,0.15,0.48,0.48,0.46,0.44,0.44,4.01,0.43,0.26,0.94,0.15,2.48,1.73,0.43,0.43,0.43,6.0,0.0,4.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,6.0,6.0,1.0,2.0,9.0,8.0,1.0,6.0,4.0,2.0,0.0,0.12,0.31,0.0,0.0,0.0,0.0,10.56,6.0,6.16,5.0,0.06,0.0,0.0,0.49,0.48,0.48
447,84735608474584,2019,Del Zotto-Holzer,ANA,pairing,5on5,18,3894.0,94.0,0.34,0.43,0.45,29.95,1.84,1.78,6.96,0.9,17.47,13.06,1.8,1.93,1.89,31.0,11.0,8.0,50.0,2.0,1.0,1.0,8.0,1.0,12.0,18.0,29.0,40.0,5.0,13.0,27.0,31.0,5.0,13.0,33.0,8.0,1.0,0.79,0.74,0.32,0.0,1.0,1.0,51.24,42.0,42.89,7.0,0.36,0.32,0.32,1.88,1.95,1.92,37.27,3.5,2.52,8.8,1.23,20.45,14.5,3.36,3.44,3.29,36.0,15.0,14.0,65.0,1.0,4.0,1.0,9.0,1.0,13.0,23.0,35.0,50.0,3.0,9.0,18.0,23.0,5.0,18.0,38.0,8.0,5.0,1.24,0.96,1.3,0.0,0.0,1.0,64.99,51.0,50.82,12.0,0.52,1.07,1.07,2.95,2.9,2.88
7582,84740318478425,2021,Guhle-Shattenkirk,ANA,pairing,5on5,5,1121.0,28.0,0.58,0.5,0.53,6.46,0.52,0.47,1.67,0.23,3.69,2.43,0.5,0.48,0.47,8.0,1.0,3.0,12.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,7.0,8.0,1.0,2.0,12.0,9.0,1.0,4.0,6.0,3.0,0.0,0.16,0.36,0.0,0.0,1.0,0.0,11.29,9.0,8.52,2.0,0.1,0.0,0.0,0.61,0.58,0.56,5.23,0.37,0.38,1.32,0.21,3.19,2.52,0.37,0.39,0.39,5.0,3.0,4.0,12.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,5.0,8.0,1.0,2.0,3.0,9.0,3.0,0.0,7.0,1.0,0.0,0.27,0.1,0.0,0.0,0.0,0.0,12.7,8.0,8.41,0.0,0.08,0.0,0.0,0.45,0.47,0.47
13245,84774628480950,2023,Hagg-Lyubushkin,ANA,pairing,5on5,2,1326.0,6.0,0.38,0.38,0.4,7.59,0.53,0.49,1.93,0.25,3.74,3.06,0.52,0.55,0.54,6.0,4.0,4.0,14.0,0.0,2.0,0.0,1.0,0.0,3.0,4.0,6.0,10.0,5.0,13.0,12.0,22.0,2.0,4.0,9.0,0.0,1.0,0.19,0.0,0.34,0.0,0.0,0.0,13.83,10.0,9.9,3.0,0.1,0.37,0.37,0.26,0.26,0.26,10.74,0.85,0.68,2.61,0.36,6.19,4.3,0.8,0.86,0.81,10.0,5.0,8.0,23.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,8.0,13.0,7.0,17.0,3.0,14.0,6.0,1.0,11.0,3.0,1.0,0.23,0.33,0.29,1.0,0.0,1.0,23.79,15.0,15.36,0.0,0.14,0.29,0.29,0.7,0.7,0.7
