,playerId,season,name,team,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts,birthDate,weight,nationality,shootsCatches,primaryNumber,position,height,Birth City,S/P,Draft Yr,Round,Overall,1st Season
2327,8474641,2019,Adam Henrique,ANA,5on5,71,55793.0,1275.0,48.82,0.48,0.47,0.52,0.47,0.51,0.47,381.0,129.01,11.63,9.67,29.71,4.39,73.89,51.7,11.3,11.5,11.18,8.0,4.0,121.0,60.0,31.0,212.0,31.0,19.0,10.0,2.0,22.0,2.0,55.0,73.0,102.0,162.0,9.0,18.0,379.0,65.0,21.0,25.0,127.0,48.0,6.0,4.49,5.61,1.53,9.0,8.0,2.0,208.97,181.0,178.86,10.0,2.0,2.42,1.86,11.77,11.62,11.42,1275.0,178.0,180.0,226.0,691.0,177.0,170.0,187.0,741.0,379.0,326.0,152802.0,18.0,18.0,9.0,28.0,484.78,33.34,32.56,33.16,32.38,475.0,207.0,217.0,899.0,44.0,25.0,4.0,561.0,101.0,20.0,15.63,12.27,5.43,26.0,13.0,5.0,891.01,682.0,677.57,6.44,4.78,4.78,34.99,34.71,34.25,454.26,35.41,34.41,35.65,34.65,449.0,194.0,186.0,829.0,42.0,32.0,7.0,506.0,115.0,22.0,15.05,14.19,6.16,16.0,17.0,9.0,836.7,643.0,647.98,6.27,6.12,6.12,35.55,35.78,35.21,89.98,102.05,2216.0,2489.0,2.11,1.39,47.0,34.0,34.0,25.0,1990-02-06,197.0,CAN,L,14.0,C,182.88,Brantford,ON,2008,3,82,2010.0
6017,8474641,2020,Adam Henrique,ANA,5on5,45,34324.0,777.0,22.62,0.46,0.45,0.5,0.47,0.47,0.47,274.0,56.42,5.03,4.09,13.11,1.98,31.18,22.61,4.76,4.97,4.7,5.0,2.0,58.0,20.0,22.0,100.0,17.0,10.0,5.0,2.0,11.0,3.0,21.0,28.0,48.0,68.0,4.0,11.0,232.0,37.0,9.0,16.0,56.0,17.0,5.0,1.81,2.0,1.23,3.0,4.0,3.0,99.33,78.0,77.57,8.0,0.85,0.92,1.2,4.69,4.63,4.55,777.0,136.0,93.0,120.0,428.0,112.0,117.0,107.0,441.0,232.0,196.0,100188.0,11.0,11.0,4.0,29.0,263.88,20.11,19.51,20.05,19.45,262.0,106.0,150.0,518.0,26.0,26.0,4.0,290.0,59.0,19.0,7.86,7.05,5.21,10.0,13.0,3.0,514.56,368.0,366.17,3.49,5.81,5.81,17.8,17.85,17.63,285.28,23.35,22.71,23.94,23.29,301.0,106.0,118.0,525.0,27.0,27.0,7.0,319.0,60.0,28.0,9.05,6.95,7.35,6.0,11.0,10.0,538.42,407.0,416.9,3.9,5.5,5.5,21.75,22.21,21.91,55.77,69.11,1374.0,1536.0,1.39,0.62,30.0,18.0,24.0,11.0,1990-02-06,197.0,CAN,L,14.0,C,182.88,Brantford,ON,2008,3,82,2010.0
10772,8474641,2021,Adam Henrique,ANA,5on5,58,50470.0,1101.0,43.53,0.54,0.47,0.51,0.46,0.5,0.46,240.0,111.3,12.29,7.83,24.92,3.69,59.24,45.03,11.8,12.29,11.79,10.0,7.0,109.0,44.0,30.0,183.0,28.0,11.0,14.0,2.0,20.0,2.0,39.0,67.0,98.0,142.0,6.0,12.0,176.0,18.0,17.0,17.0,100.0,43.0,10.0,3.65,5.54,3.11,3.0,6.0,2.0,182.51,153.0,152.1,8.0,1.64,2.9,3.28,10.66,10.57,10.28,1101.0,152.0,177.0,206.0,566.0,161.0,142.0,175.0,623.0,176.0,151.0,124768.0,12.0,12.0,6.0,46.0,431.65,38.83,37.45,38.62,37.25,430.0,172.0,196.0,798.0,44.0,48.0,10.0,448.0,114.0,40.0,13.39,14.65,10.79,18.0,16.0,10.0,794.55,602.0,599.19,5.98,9.95,9.95,34.86,34.72,34.06,422.34,33.13,32.28,33.47,32.62,422.0,174.0,178.0,774.0,45.0,33.0,1.0,469.0,103.0,24.0,13.72,12.99,6.41,20.0,22.0,3.0,786.01,596.0,604.02,5.8,6.38,6.61,32.32,32.69,32.26,72.98,83.27,1717.0,1994.0,1.79,1.48,36.0,31.0,28.0,26.0,1990-02-06,197.0,CAN,L,14.0,C,182.88,Brantford,ON,2008,3,82,2010.0
14072,8474641,2022,Adam Henrique,ANA,5on5,62,47265.0,1069.0,32.1,0.46,0.38,0.46,0.42,0.45,0.41,388.0,87.96,10.51,6.19,19.32,2.73,44.57,33.69,9.88,10.55,9.94,4.0,6.0,94.0,23.0,33.0,150.0,25.0,15.0,7.0,2.0,17.0,3.0,33.0,42.0,79.0,102.0,8.0,16.0,131.0,26.0,14.0,27.0,68.0,36.0,13.0,2.44,4.61,3.46,5.0,6.0,4.0,148.44,117.0,116.81,11.0,1.3,1.57,2.71,9.1,9.2,8.93,1069.0,164.0,131.0,200.0,574.0,134.0,179.0,161.0,595.0,131.0,120.0,136563.0,16.0,14.0,7.0,32.0,368.16,34.69,33.18,34.28,32.78,371.0,130.0,180.0,681.0,35.0,37.0,4.0,357.0,110.0,34.0,11.07,14.09,9.53,17.0,11.0,7.0,663.14,501.0,490.6,5.03,7.92,7.7,32.03,31.58,30.76,445.25,40.05,38.54,40.77,39.26,465.0,156.0,186.0,807.0,37.0,47.0,2.0,452.0,131.0,38.0,14.26,15.9,9.89,14.0,17.0,6.0,833.61,621.0,638.5,6.34,8.38,8.38,38.02,38.86,38.07,78.19,128.08,1863.0,2538.0,1.61,1.0,38.0,18.0,31.0,14.0,1990-02-06,197.0,CAN,L,14.0,C,182.88,Brantford,ON,2008,3,82,2010.0
19877,8473986,2023,Alex Killorn,ANA,5on5,63,54790.0,1071.0,35.97,0.49,0.46,0.51,0.45,0.5,0.45,181.0,109.54,11.74,7.24,26.16,3.65,57.48,42.74,11.17,11.48,10.92,10.0,3.0,104.0,45.0,63.0,212.0,24.0,11.0,14.0,0.0,14.0,1.0,54.0,55.0,93.0,138.0,18.0,36.0,8.0,64.0,23.0,28.0,104.0,30.0,15.0,3.57,3.79,4.38,8.0,2.0,1.0,205.56,149.0,145.09,7.0,1.51,2.97,3.05,10.2,10.01,9.8,1071.0,150.0,111.0,203.0,607.0,170.0,154.0,152.0,595.0,8.0,18.0,125143.0,36.0,16.0,8.0,22.0,455.66,37.52,35.88,36.95,35.33,425.0,209.0,259.0,893.0,35.0,41.0,3.0,498.0,96.0,40.0,14.08,12.24,11.21,17.0,12.0,6.0,869.71,634.0,620.53,5.86,8.97,9.3,34.08,33.49,32.74,456.29,38.4,37.1,39.39,38.05,426.0,206.0,223.0,855.0,47.0,47.0,8.0,475.0,124.0,33.0,14.38,15.19,8.83,18.0,22.0,7.0,885.49,632.0,651.74,6.22,8.83,8.83,35.78,36.71,36.11,74.08,88.7,1711.0,2096.0,1.12,1.82,18.0,37.0,16.0,30.0,1989-09-14,196.0,CAN,L,17.0,L,185.42000000000002,Halifax,NS,2007,3,77,2012.0
4482,8480186,2020,Alexander Volkov,ANA,5on5,37,23235.0,502.0,8.27,0.44,0.49,0.43,0.52,0.43,0.51,317.0,29.72,4.02,2.21,6.37,0.98,15.34,11.09,3.89,4.23,4.1,1.0,4.0,34.0,6.0,8.0,48.0,12.0,7.0,1.0,1.0,9.0,0.0,9.0,14.0,27.0,33.0,3.0,6.0,2.0,35.0,10.0,5.0,21.0,14.0,5.0,0.81,1.9,1.31,1.0,6.0,0.0,50.12,40.0,41.53,0.0,0.47,0.19,1.07,3.41,3.56,3.49,502.0,71.0,39.0,76.0,316.0,90.0,79.0,72.0,261.0,2.0,3.0,82656.0,6.0,6.0,3.0,22.0,156.3,13.09,12.65,13.44,13.0,153.0,61.0,69.0,283.0,17.0,12.0,2.0,155.0,45.0,14.0,3.91,5.49,3.7,3.0,13.0,1.0,288.14,214.0,217.3,2.07,2.54,2.54,12.63,12.98,12.74,204.63,16.77,16.11,16.88,16.21,198.0,86.0,88.0,372.0,16.0,16.0,2.0,219.0,46.0,19.0,6.0,5.7,5.07,6.0,6.0,4.0,371.61,284.0,285.35,2.79,3.57,3.83,15.74,15.74,15.52,50.75,52.42,1251.0,1172.0,1.14,0.46,15.0,9.0,12.0,7.0,1997-08-02,191.0,RUS,L,92.0,R,185.42000000000002,Moscow,--,2017,2,48,2019.0
3232,8475461,2019,Andrew Agozzino,ANA,5on5,22,8960.0,231.0,4.81,0.51,0.47,0.52,0.48,0.52,0.48,249.0,7.55,0.54,0.5,1.74,0.25,4.09,2.89,0.54,0.55,0.55,2.0,1.0,7.0,3.0,3.0,13.0,4.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,6.0,9.0,2.0,4.0,35.0,25.0,5.0,4.0,7.0,3.0,0.0,0.15,0.39,0.0,0.0,1.0,0.0,13.25,10.0,10.11,1.0,0.1,0.17,0.0,0.65,0.65,0.65,231.0,25.0,13.0,28.0,165.0,39.0,34.0,25.0,133.0,35.0,37.0,56571.0,4.0,6.0,3.0,7.0,61.69,4.44,4.27,4.44,4.27,59.0,29.0,34.0,122.0,7.0,3.0,1.0,68.0,17.0,3.0,1.71,1.9,0.83,2.0,4.0,1.0,121.96,88.0,87.77,0.8,0.7,1.0,4.17,4.16,4.07,57.66,4.2,4.13,4.21,4.14,63.0,19.0,29.0,111.0,5.0,5.0,1.0,65.0,14.0,3.0,1.55,1.74,0.91,2.0,2.0,1.0,110.68,82.0,81.36,0.73,0.85,1.01,3.92,3.94,3.9,35.24,39.82,797.0,869.0,0.91,0.29,12.0,3.0,10.0,3.0,1991-01-03,187.0,CAN,L,26.0,L,177.8,Kleinburg,ON,--,--,--,2014.0
5052,8475461,2020,Andrew Agozzino,ANA,5on5,3,2117.0,49.0,1.22,0.61,0.3,0.49,0.4,0.51,0.37,23.0,2.16,0.42,0.18,0.42,0.08,1.1,0.78,0.42,0.47,0.46,1.0,0.0,3.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,16.0,6.0,0.0,1.0,0.0,3.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,5.16,3.0,3.29,0.0,0.04,0.0,0.0,0.47,0.51,0.5,49.0,8.0,4.0,9.0,28.0,6.0,8.0,8.0,27.0,16.0,16.0,6658.0,0.0,0.0,0.0,6.0,15.43,1.74,1.74,1.81,1.8,14.0,8.0,10.0,32.0,1.0,0.0,0.0,13.0,8.0,1.0,0.47,1.06,0.21,1.0,0.0,0.0,33.24,22.0,22.72,0.23,0.0,0.0,1.97,2.04,2.04,14.07,1.12,1.11,1.09,1.08,13.0,8.0,12.0,33.0,1.0,0.0,0.0,15.0,6.0,0.0,0.51,0.6,0.0,1.0,0.0,0.0,32.63,21.0,20.47,0.21,0.0,0.0,1.33,1.3,1.28,2.56,6.08,78.0,116.0,0.25,0.16,3.0,2.0,3.0,2.0,1991-01-03,187.0,CAN,L,26.0,L,177.8,Kleinburg,ON,--,--,--,2014.0
20372,8483570,2023,Ben Meyers,ANA,5on5,23,13121.0,283.0,1.3,0.45,0.51,0.48,0.5,0.44,0.51,197.0,16.07,1.45,1.05,3.69,0.52,8.56,6.73,1.45,1.42,1.42,1.0,1.0,12.0,10.0,11.0,33.0,3.0,1.0,2.0,0.0,3.0,0.0,8.0,8.0,11.0,21.0,3.0,6.0,35.0,33.0,3.0,3.0,13.0,9.0,0.0,0.35,1.11,0.0,0.0,1.0,0.0,31.97,22.0,21.58,2.0,0.22,0.3,0.0,1.67,1.63,1.63,283.0,29.0,24.0,48.0,182.0,44.0,36.0,27.0,176.0,35.0,39.0,52867.0,6.0,2.0,1.0,2.0,69.62,5.12,5.04,5.01,4.94,64.0,35.0,57.0,156.0,5.0,6.0,0.0,77.0,20.0,2.0,1.94,2.55,0.62,3.0,2.0,0.0,151.7,99.0,96.42,0.91,1.09,1.09,4.93,4.81,4.76,90.66,6.28,6.2,6.57,6.49,78.0,49.0,41.0,168.0,10.0,5.0,1.0,103.0,22.0,2.0,3.08,2.75,0.45,5.0,4.0,1.0,177.17,127.0,132.06,1.15,0.73,0.73,6.7,7.0,6.95,36.1,34.44,856.0,844.0,0.13,0.06,10.0,5.0,7.0,4.0,1998-11-15,194.0,USA,L,59.0,C,180.34,Delano,MN,--,--,--,2021.0
9847,8480870,2021,Benoit-Olivier Groulx,ANA,5on5,18,9903.0,223.0,1.35,0.43,0.51,0.44,0.49,0.42,0.5,170.0,14.37,1.18,0.96,3.17,0.42,7.56,5.71,1.15,1.2,1.16,1.0,1.0,15.0,4.0,9.0,28.0,2.0,0.0,2.0,0.0,3.0,0.0,7.0,7.0,15.0,19.0,0.0,0.0,37.0,18.0,3.0,3.0,13.0,6.0,0.0,0.41,0.77,0.0,0.0,0.0,0.0,28.72,19.0,19.23,1.0,0.2,0.49,0.16,1.23,1.24,1.21,223.0,28.0,21.0,35.0,139.0,36.0,43.0,31.0,113.0,37.0,38.0,42568.0,0.0,0.0,0.0,5.0,68.58,5.28,5.07,5.33,5.11,69.0,25.0,37.0,131.0,4.0,8.0,1.0,75.0,16.0,3.0,2.03,2.05,1.19,1.0,2.0,1.0,134.06,94.0,95.09,0.85,1.65,1.56,4.56,4.55,4.48,91.13,6.93,6.77,6.91,6.75,90.0,41.0,37.0,168.0,5.0,12.0,1.0,99.0,29.0,3.0,2.73,3.38,0.82,4.0,1.0,0.0,167.61,131.0,130.44,1.23,1.89,1.89,6.27,6.22,6.14,27.05,26.37,623.0,640.0,0.24,0.17,5.0,3.0,5.0,3.0,2000-02-06,195.0,CAN,L,50.0,C,187.96,,,,,,
