,team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
169,ANA,2020,ANA,ANA,Team Level,5on4,56,0.86,0.87,0.85,12241,172.09,17.82,14.6,36.71,5.63,110.62,57.62,16.55,17.82,16.55,162,81,71,314,7,11,1,39,4,95,87,155,236,12,20,108,15,9,32,184,45,14,5.39,4.73,7.7,1,0,6,314.0,243,243.0,1,3.65,2.58,2.58,18.88,18.88,18.34,32.35,2.94,1.63,4.54,0.99,10.61,23.28,2.88,2.94,2.88,31,13,3,47,3,2,1,2,0,7,30,28,41,3,6,92,33,23,24,30,10,4,0.81,1.16,0.97,1,1,1,47.0,44,44.0,22,0.38,0.44,0.44,2.87,2.87,2.86
414,ANA,2021,ANA,ANA,Team Level,5on4,82,0.87,0.86,0.82,21218.0,276.44,34.32,23.9,58.25,9.04,173.95,90.55,33.37,34.32,33.37,279.0,111.0,165.0,555.0,46.0,16.0,4.0,55.0,18.0,148.0,107.0,233.0,344.0,13.0,26.0,232.0,27.0,18.0,55.0,287.0,62.0,41.0,7.63,7.54,19.14,8.0,13.0,25.0,555.0,390.0,390.0,3.0,6.23,3.61,3.61,36.94,36.94,35.97,61.36,4.95,2.98,8.94,1.9,20.12,45.12,4.91,4.95,4.91,69.0,15.0,9.0,93.0,3.0,0.0,0.0,13.0,1.0,14.0,53.0,66.0,81.0,2.0,4.0,151.0,74.0,42.0,41.0,62.0,18.0,4.0,1.77,2.26,0.92,0.0,3.0,0.0,93.0,84.0,84.0,36.0,0.69,0.0,0.0,5.63,5.63,5.59
719,ANA,2023,ANA,ANA,Team Level,5on4,82,0.86,0.88,0.86,21855.0,288.07,35.26,25.27,62.87,9.69,177.76,93.14,33.45,35.26,33.45,289.0,115.0,164.0,568.0,38.0,21.0,4.0,70.0,1.0,163.0,111.0,251.0,366.0,27.0,59.0,191.0,23.0,12.0,40.0,279.0,79.0,46.0,7.43,9.18,18.65,4.0,6.0,28.0,568.0,404.0,404.0,9.0,6.53,3.58,3.42,38.37,38.37,36.9,49.18,5.76,2.61,6.9,1.53,14.83,32.37,5.68,5.76,5.68,53.0,11.0,13.0,77.0,4.0,3.0,0.0,2.0,0.0,15.0,40.0,49.0,60.0,12.0,27.0,197.0,61.0,49.0,23.0,38.0,18.0,8.0,1.09,2.45,2.22,2.0,0.0,2.0,77.0,64.0,64.0,22.0,0.59,0.66,0.66,5.69,5.69,5.67
70,ANA,2019,ANA,ANA,Team Level,other,71,0.5,0.45,0.46,11173.0,106.37,21.58,7.63,19.06,3.84,60.39,39.62,20.18,21.58,20.18,99.0,55.0,42.0,196.0,16.0,8.0,2.0,18.0,7.0,46.0,59.0,83.0,138.0,9.0,18.0,104.0,25.0,16.0,20.0,98.0,27.0,29.0,3.74,3.39,14.45,4.0,5.0,7.0,196.0,154.0,154.0,5.0,2.18,2.5,2.5,21.12,21.12,20.06,129.04,21.93,9.26,23.5,4.31,72.37,47.81,21.47,21.93,21.47,139.0,43.0,53.0,235.0,26.0,7.0,1.0,23.0,9.0,58.0,59.0,113.0,156.0,4.0,8.0,115.0,32.0,27.0,23.0,108.0,49.0,25.0,4.1,5.99,11.84,8.0,5.0,13.0,235.0,182.0,182.0,7.0,2.67,1.77,1.77,22.65,22.65,22.27
71,ANA,2019,ANA,ANA,Team Level,all,71,0.47,0.49,0.49,256861.0,2105.13,178.16,141.97,494.0,71.01,1203.49,885.62,172.23,178.33,172.36,2083.0,895.0,897.0,3875.0,181.0,145.0,29.0,477.0,74.0,895.0,1206.0,1902.0,2797.0,264.0,603.0,1971.0,1575.0,445.0,721.0,2333.0,488.0,157.0,63.98,58.42,55.76,70.0,56.0,55.0,3857.16,2978.0,2969.19,384.0,30.89,29.57,29.59,179.2,179.1,175.52,2229.24,197.24,152.88,523.66,75.95,1272.99,931.54,190.99,198.04,191.8,2253.0,905.0,932.0,4090.0,222.0,172.0,32.0,513.0,66.0,1006.0,1179.0,2031.0,2936.0,236.0,557.0,1920.0,1436.0,461.0,792.0,2443.0,543.0,172.0,70.68,66.82,59.74,81.0,77.0,64.0,4117.05,3158.0,3170.3,417.0,33.44,34.92,35.0,195.42,196.28,192.41
72,ANA,2019,ANA,ANA,Team Level,5on5,71,0.47,0.48,0.48,208595.0,1693.33,123.32,109.63,414.08,57.12,969.64,717.27,119.79,123.49,119.92,1660.0,732.0,723.0,3115.0,130.0,112.0,18.0,400.0,59.0,723.0,968.0,1530.0,2262.0,237.0,549.0,1512.0,1465.0,377.0,615.0,1916.0,384.0,92.0,51.97,45.69,25.66,60.0,46.0,24.0,3097.16,2392.0,2383.19,344.0,22.45,21.3,21.32,124.38,124.29,122.51,1795.52,137.45,118.36,438.79,61.4,1025.88,765.19,133.29,138.25,134.1,1788.0,760.0,770.0,3318.0,149.0,143.0,24.0,426.0,44.0,823.0,963.0,1639.0,2399.0,211.0,505.0,1489.0,1323.0,399.0,666.0,2032.0,416.0,100.0,59.18,50.99,27.27,59.0,61.0,29.0,3345.05,2548.0,2560.3,368.0,24.27,27.11,27.19,134.47,135.33,133.18
73,ANA,2019,ANA,ANA,Team Level,4on5,71,0.18,0.18,0.2,18806.0,65.65,7.2,3.3,9.34,1.91,20.81,46.44,7.11,7.2,7.11,72.0,17.0,11.0,100.0,10.0,4.0,3.0,7.0,0.0,7.0,61.0,62.0,79.0,9.0,18.0,165.0,65.0,41.0,38.0,62.0,17.0,10.0,1.75,2.29,3.15,1.0,1.0,8.0,100.0,89.0,89.0,32.0,0.75,1.1,1.1,6.85,6.85,6.8,259.02,33.14,22.68,54.74,8.73,159.23,85.48,31.61,33.14,31.61,271.0,93.0,98.0,462.0,42.0,21.0,7.0,59.0,13.0,113.0,116.0,229.0,322.0,9.0,18.0,198.0,24.0,11.0,68.0,257.0,67.0,40.0,6.16,8.28,18.71,12.0,10.0,20.0,462.0,364.0,364.0,10.0,5.89,5.76,5.76,33.27,33.27,32.01
74,ANA,2019,ANA,ANA,Team Level,5on4,71,0.85,0.86,0.84,18287.0,239.77,26.06,21.42,51.51,8.13,152.64,82.3,25.14,26.06,25.14,252.0,91.0,121.0,464.0,25.0,21.0,6.0,52.0,8.0,119.0,118.0,227.0,318.0,9.0,18.0,190.0,20.0,11.0,48.0,257.0,60.0,26.0,6.51,7.05,12.5,5.0,4.0,16.0,464.0,343.0,343.0,3.0,5.5,4.66,4.66,26.84,26.84,26.15,45.66,4.71,2.6,6.61,1.5,15.52,33.07,4.61,4.71,4.61,55.0,9.0,11.0,75.0,5.0,1.0,0.0,5.0,0.0,12.0,41.0,50.0,59.0,12.0,26.0,118.0,57.0,24.0,35.0,46.0,11.0,7.0,1.23,1.57,1.91,2.0,1.0,2.0,75.0,64.0,64.0,32.0,0.6,0.27,0.27,5.03,5.03,4.95
485,ANA,2022,ANA,ANA,Team Level,other,82,0.42,0.44,0.43,9108.0,120.37,23.16,8.8,21.77,4.0,63.94,42.33,21.61,23.16,21.61,126.0,38.0,48.0,212.0,27.0,12.0,4.0,17.0,2.0,57.0,49.0,99.0,137.0,9.0,18.0,120.0,17.0,26.0,21.0,91.0,41.0,32.0,3.34,5.01,14.82,3.0,9.0,15.0,212.0,164.0,164.0,8.0,2.51,4.11,4.66,21.01,21.01,20.15,159.34,31.97,11.73,27.94,5.22,84.14,55.99,29.3,31.97,29.3,154.0,63.0,57.0,274.0,32.0,12.0,2.0,23.0,5.0,81.0,64.0,122.0,185.0,11.0,22.0,109.0,20.0,25.0,23.0,115.0,64.0,38.0,4.52,8.95,18.5,7.0,7.0,18.0,274.0,217.0,217.0,8.0,3.37,3.7,3.45,31.88,31.88,29.73
486,ANA,2022,ANA,ANA,Team Level,all,82,0.4,0.43,0.42,299138.0,2322.49,210.44,158.49,538.31,76.44,1255.07,945.26,200.55,208.19,198.39,2326.0,858.0,1050.0,4234.0,206.0,229.0,33.0,459.0,54.0,1044.0,1193.0,2120.0,2978.0,339.0,759.0,2220.0,1284.0,457.0,656.0,2342.0,648.0,194.0,66.25,79.02,65.16,71.0,75.0,60.0,4135.42,3184.0,3127.89,357.0,34.94,46.02,46.06,199.33,197.07,192.22,3146.67,320.76,225.16,714.33,104.37,1752.87,1246.5,304.99,326.35,310.33,3208.0,1156.0,1201.0,5565.0,335.0,334.0,32.0,615.0,100.0,1434.0,1546.0,2873.0,4029.0,292.0,669.0,2530.0,1430.0,553.0,707.0,3105.0,929.0,330.0,93.9,115.13,111.74,111.0,126.0,98.0,5736.13,4364.0,4473.82,314.0,49.81,67.03,67.07,303.5,308.56,299.43
717,ANA,2023,ANA,ANA,Team Level,5on5,82,0.47,0.46,0.46,232464.0,1764.91,144.61,108.54,442.59,59.43,939.86,727.97,139.07,143.3,137.81,1667.0,756.0,921.0,3344.0,127.0,162.0,19.0,366.0,6.0,808.0,954.0,1540.0,2296.0,363.0,816.0,1549.0,1781.0,417.0,477.0,1879.0,394.0,150.0,51.52,50.07,43.03,56.0,44.0,27.0,3282.29,2423.0,2385.32,231.0,22.49,36.6,36.93,130.16,128.91,126.52,2018.11,164.61,130.51,505.15,67.64,1095.75,826.41,158.61,167.73,161.63,1920.0,871.0,1074.0,3865.0,174.0,189.0,24.0,397.0,7.0,1010.0,1014.0,1746.0,2617.0,288.0,661.0,1752.0,1455.0,427.0,530.0,2134.0,513.0,144.0,60.97,64.58,39.07,71.0,78.0,25.0,3967.35,2791.0,2854.8,267.0,27.08,36.11,36.45,155.18,158.1,155.13
716,ANA,2023,ANA,ANA,Team Level,all,82,0.44,0.45,0.45,297099.0,2296.39,219.06,149.97,548.91,77.22,1234.67,926.17,208.71,217.74,207.45,2194.0,962.0,1175.0,4331.0,203.0,209.0,28.0,466.0,9.0,1083.0,1186.0,1991.0,2953.0,407.0,914.0,2115.0,1914.0,502.0,579.0,2364.0,535.0,257.0,66.37,66.66,86.03,70.0,60.0,73.0,4269.29,3156.0,3118.32,285.0,33.42,47.49,47.49,204.98,203.72,198.0,2799.24,281.69,193.7,664.79,94.3,1533.29,1089.3,266.21,284.82,269.24,2666.0,1192.0,1452.0,5310.0,293.0,281.0,40.0,541.0,12.0,1402.0,1329.0,2373.0,3565.0,325.0,741.0,2419.0,1588.0,526.0,657.0,2808.0,759.0,291.0,81.13,94.93,105.63,98.0,112.0,83.0,5412.35,3858.0,3921.8,306.0,43.73,60.45,60.45,264.92,267.83,258.66
715,ANA,2023,ANA,ANA,Team Level,other,82,0.43,0.47,0.48,13719.0,171.06,32.4,12.55,32.32,5.79,94.13,54.8,29.51,32.4,29.51,157.0,75.0,74.0,306.0,28.0,22.0,4.0,23.0,2.0,93.0,64.0,129.0,204.0,7.0,14.0,121.0,42.0,20.0,25.0,133.0,51.0,48.0,5.52,6.15,20.73,6.0,8.0,14.0,306.0,232.0,232.0,10.0,3.57,6.67,6.51,29.46,29.46,27.69,188.44,43.67,13.28,35.64,6.68,95.97,60.76,38.58,43.67,38.58,174.0,82.0,89.0,345.0,31.0,27.0,4.0,35.0,3.0,95.0,65.0,143.0,225.0,5.0,10.0,170.0,43.0,29.0,34.0,131.0,60.0,65.0,5.23,7.34,31.1,6.0,7.0,18.0,345.0,256.0,256.0,13.0,3.85,9.2,9.2,38.32,38.32,35.07
487,ANA,2022,ANA,ANA,Team Level,5on5,82,0.4,0.43,0.42,243565.0,1800.71,147.26,115.63,434.05,59.02,962.39,746.66,141.7,145.01,139.55,1802.0,663.0,836.0,3301.0,144.0,176.0,24.0,378.0,46.0,776.0,946.0,1658.0,2321.0,298.0,672.0,1690.0,1214.0,379.0,555.0,1852.0,488.0,125.0,52.18,60.27,34.82,62.0,55.0,27.0,3202.42,2465.0,2408.89,314.0,23.91,33.14,32.97,138.2,135.94,133.76,2472.21,221.12,170.21,585.3,82.33,1379.68,1008.36,211.99,226.71,217.33,2540.0,907.0,989.0,4436.0,224.0,265.0,24.0,500.0,83.0,1110.0,1265.0,2316.0,3223.0,257.0,598.0,1979.0,1340.0,466.0,603.0,2531.0,709.0,207.0,77.25,87.47,56.4,90.0,98.0,36.0,4607.13,3447.0,3556.82,280.0,35.17,52.29,52.59,203.68,208.75,204.39
488,ANA,2022,ANA,ANA,Team Level,4on5,82,0.07,0.11,0.12,24455.0,60.15,4.38,2.72,8.92,1.87,19.25,43.85,4.32,4.38,4.32,67.0,14.0,10.0,91.0,0.0,0.0,0.0,4.0,2.0,15.0,60.0,67.0,81.0,14.0,33.0,207.0,36.0,39.0,30.0,62.0,15.0,4.0,1.58,1.82,0.98,0.0,0.0,0.0,91.0,81.0,81.0,28.0,0.63,0.0,0.0,5.01,5.01,4.94,453.99,60.7,40.09,92.88,15.0,270.48,140.85,56.79,60.7,56.79,448.0,172.0,146.0,766.0,73.0,54.0,6.0,89.0,12.0,225.0,167.0,375.0,547.0,16.0,33.0,262.0,17.0,17.0,50.0,410.0,135.0,75.0,10.75,15.96,33.99,13.0,18.0,42.0,766.0,620.0,620.0,0.0,10.55,10.64,10.63,60.62,60.62,58.01
489,ANA,2022,ANA,ANA,Team Level,5on4,82,0.84,0.88,0.86,22010.0,341.26,35.64,31.34,73.58,11.55,209.48,112.41,32.92,35.64,32.92,331.0,143.0,156.0,630.0,35.0,41.0,5.0,60.0,4.0,196.0,138.0,296.0,439.0,18.0,36.0,203.0,17.0,13.0,50.0,337.0,104.0,33.0,9.16,11.92,14.55,6.0,11.0,18.0,630.0,474.0,474.0,7.0,7.9,8.77,8.42,35.12,35.12,33.37,61.12,6.98,3.13,8.21,1.81,18.57,41.31,6.91,6.98,6.91,66.0,14.0,9.0,89.0,6.0,3.0,0.0,3.0,0.0,18.0,50.0,60.0,74.0,8.0,16.0,180.0,53.0,45.0,31.0,49.0,21.0,10.0,1.37,2.75,2.85,1.0,3.0,2.0,89.0,80.0,80.0,26.0,0.72,0.39,0.39,7.3,7.3,7.29
168,ANA,2020,ANA,ANA,Team Level,4on5,56,0.12,0.14,0.16,16367,44.79,3.78,2.16,6.27,1.28,14.95,33.56,3.72,3.78,3.72,51,11,4,66,1,1,0,6,0,8,46,50,61,3,6,129,47,32,35,46,12,4,1.27,1.54,0.98,0,0,1,66.0,62,62.0,30,0.5,0.28,0.28,4.0,4.0,3.96,229.59,26.76,21.14,47.8,7.59,145.68,74.04,25.57,26.76,25.57,235,88,98,421,32,27,3,46,8,116,94,203,291,10,26,152,25,15,44,243,50,30,6.26,6.13,14.36,9,6,17,421.0,323,323.0,3,5.41,4.75,5.33,26.83,26.83,26.04
167,ANA,2020,ANA,ANA,Team Level,5on5,56,0.46,0.49,0.48,167022,1243.99,92.81,79.24,300.56,40.73,700.18,528.48,90.23,92.53,89.97,1213,529,640,2382,101,88,14,317,35,495,706,1112,1641,182,424,1282,1216,260,408,1374,292,76,37.05,34.7,21.06,38,47,16,2357.8,1742,1724.76,235,16.24,17.91,17.91,91.14,90.92,89.68,1339.28,110.17,90.01,323.61,45.14,760.38,562.7,106.93,111.98,108.66,1367,525,606,2498,123,115,23,337,60,583,674,1244,1769,137,336,1216,1099,295,463,1454,342,96,43.02,40.73,26.42,44,50,29,2550.53,1892,1929.1,270,18.53,22.59,22.9,105.8,107.31,105.84
